Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
,Species ecology & life-history strategies,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Microhabitat characteristics,,,,,,,,,,
TD-00012,"Acharya, B. K.",2008,"Bird communities and their distribution pattern along the elevation gradient of Teesta valley, Sikkim",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00012,Landbirds,
,Eastern Himalaya,,,,,,,,,,
,Mountains,,,,,,,,,,
,Forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Indicator species,,,,,,,,,,
,Elevational pattern,,,,,,,,,,
,Habitat selection,,,,,,,,,,
TD-00013,"Das, K. S. A.",2008,"Bird community structure along the altitudinal gradient in Silent Valley National Park, Western Ghats, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00013,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Shola forests,,,,,,,,,,
,Montane rain forests,,,,,,,,,,
,Moist broadleaved forests ,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Community structure,,,,,,,,,,
,Elevational pattern,,,,,,,,,,
,Spatio-temporal variation,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
TD-00014,"Dhananjayan, V.",2009,"Levels of organic contaminants and selective biomarkers in the birds of Gujarat and Tamilnadu, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00014,Landbirds,
,Waterbirds,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Forests,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Drug regulation,,,,,,,,,,
,Biomarkers,,,,,,,,,,
TD-00015,"Ezhilarasi, N.",2009,Status and ecology of the Andaman Crake,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00015,Crakes,
,Rallina canningi,,,,,,,,,,
,Rallidae,,,,,,,,,,
,Andamans,,,,,,,,,,
,Coastal forests,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Habitat specialists,,,,,,,,,,
,Threat assessment,,,,,,,,,,
TD-00016,"Sheshnarayan, M. S.",2009,"Breeding ecology of the Edible-nest Swiftlet Aerodramus fuciphagus and the Glossy Swiftlet Collocalia esculenta in the Andaman islands, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00016,Swifts,
,Aerodramus fuciphagus,,,,,,,,,,
,Collocalia esculenta,,,,,,,,,,
,Apodidae,,,,,,,,,,
,Andamans,,,,,,,,,,
,Islands,,,,,,,,,,
,Caves,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat requirements,,,,,,,,,,
,Ex-situ conservation,,,,,,,,,,
,Colonial nesting,,,,,,,,,,
,Cave nesting,,,,,,,,,,
,Breeding success,,,,,,,,,,
TD-00017,"Kumar, E. S.",2010,"Studies on frugivory and seed dispersal by Indian Grey Hornbill (Ocyceros birostris) in Sathyamangalam forest division, Eastern ghats",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00017,Hornbills,
,Ocyceros birostris,,,,,,,,,,
,Bucerotidae,,,,,,,,,,
,Eastern Ghats (South),,,,,,,,,,
,Forests,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Frugivory,,,,,,,,,,
,Seasonal diet,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Seed germination,,,,,,,,,,
TD-00018,"Rajamamannan, M. A.",2010,Avifaunal diversity of the Andaman Islands and their conservation,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00018,Landbirds,
,Waterbirds,,,,,,,,,,
,Shorebirds,,,,,,,,,,
,Andamans,,,,,,,,,,
,Islands,,,,,,,,,,
,Forests,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Coasts,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Community composition,,,,,,,,,,
TD-00019,"Dhanya, R.",2011,"Status and ecology of House Sparrow Passer domesticus along an urban to rural gradient in Coimbatore, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00019,Sparrows,
,Passer domesticus,,,,,,,,,,
,Passeridae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Land cover ,,,,,,,,,,
,Breeding ecology,,,,,,,,,,
,Threat assessment,,,,,,,,,,
TD-00020,"Sheeba, N.",2011,"Ecology and conservation of the Spot-billed Pelican Pelecanus philippensis in Andhra Pradesh, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00020,Pelicans,
,Pelecanus philippensis,,,,,,,,,,
,Pelecanidae,,,,,,,,,,
,Eastern Plains,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat occupancy,,,,,,,,,,
,Seasonal movements ,,,,,,,,,,
,Breeding ecology,,,,,,,,,,
,Habitat disturbance,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
TD-00021,"Aruna, R.",2012,Study on avian frugivory in tropical mixed dry deciduous and scrub forest in southern India,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00021,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Landscape ecology,,,,,,,,,,
,Macroecology,,,,,,,,,,
,Frugivory,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Vegetation composition,,,,,,,,,,
,Plant-bird interactions,,,,,,,,,,
TD-00022,"Abdulla, E. V.",2006,"Biology, ecology and behaviour of Purple Moorhen Porphyrio porphyrio",Farook College,Kozhikode,"University of Calicut, Calicut",,Ph.D.,TD-00022,Rails,
